Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-03-31,30.17,31.01,30.12,30.44,1251600.0,0.0,1.0,30.17,31.01,30.12,30.44,1251600.0
2009-06-30,35.64,35.86,35.08,35.14,2491700.0,0.0,1.0,35.64,35.86,35.08,35.14,2491700.0
2009-09-30,42.07,42.47,41.67,42.13,850000.0,0.0,1.0,42.07,42.47,41.67,42.13,850000.0
2009-12-31,47.46,47.5,46.81,46.85,330600.0,0.0,1.0,47.46,47.5,46.81,46.85,330600.0
2010-03-31,55.6,55.63,55.15,55.33,797700.0,0.0,1.0,55.6,55.63,55.15,55.33,797700.0
2010-06-30,52.24,53.27,51.78,52.28,1228200.0,0.0,1.0,52.24,53.27,51.78,52.28,1228200.0
2010-09-30,60.8,61.38,60.4,60.5,1069100.0,0.0,1.0,60.8,61.38,60.4,60.5,1069100.0
2010-12-31,69.85,69.96,69.28,69.28,741200.0,0.0,1.0,69.85,69.96,69.28,69.28,741200.0
2011-03-31,67.16,67.88,67.15,67.64,964500.0,0.0,1.0,67.16,67.88,67.15,67.64,964500.0
2011-06-30,69.53,70.4,69.53,70.02,592000.0,0.0,1.0,69.53,70.4,69.53,70.02,592000.0
2011-09-30,51.74,53.29,51.46,52.16,1565700.0,0.0,1.0,51.74,53.29,51.46,52.16,1565700.0
2011-12-31,66.91,67.82,66.655,67.13,863200.0,0.0,1.0,66.91,67.82,66.655,67.13,863200.0
2012-03-31,69.24,69.3,68.59,68.96,484200.0,0.0,1.0,69.24,69.3,68.59,68.96,484200.0
2012-06-30,60.11,61.11,60.01,60.77,927800.0,0.0,1.0,60.11,61.11,60.01,60.77,927800.0
2012-09-30,60.0,60.71,59.61,60.32,726800.0,0.0,1.0,60.0,60.71,59.61,60.32,726800.0
2012-12-31,69.63,70.3,69.22,70.24,427500.0,0.0,1.0,69.63,70.3,69.22,70.24,427500.0
2013-03-31,71.69,72.08,71.47,72.0,838700.0,0.0,1.0,71.69,72.08,71.47,72.0,838700.0
2013-06-30,66.48,68.02,66.48,67.45,1095900.0,0.0,1.0,66.48,68.02,66.48,67.45,1095900.0
2013-09-30,74.06,75.43,73.96,74.73,937400.0,0.0,1.0,74.06,75.43,73.96,74.73,937400.0
2013-12-31,77.48,78.67,77.48,77.69,624100.0,0.0,1.0,77.48,78.67,77.48,77.69,624100.0
2014-03-31,83.25,84.14,82.85,83.99,421800.0,0.0,1.0,83.25,84.14,82.85,83.99,421800.0
2014-06-30,83.62,83.71,82.53,83.14,526800.0,0.0,1.0,83.62,83.71,82.53,83.14,526800.0
2014-09-30,81.07,81.46,80.0,80.12,785767.0,0.0,1.0,81.07,81.46,80.0,80.12,785767.0
2014-12-31,88.05,88.61,86.46,86.51,366763.0,0.0,1.0,88.05,88.61,86.46,86.51,366763.0
2015-03-31,94.67,95.4,94.06,94.09,603581.0,0.0,1.0,94.67,95.4,94.06,94.09,603581.0
2015-06-30,84.6,84.89,83.94,84.33,593287.0,0.0,1.0,84.6,84.89,83.94,84.33,593287.0
2015-09-30,73.91,75.13,73.15,73.78,1007537.0,0.0,1.0,73.91,75.13,73.15,73.78,1007537.0
2015-12-31,80.92,81.48,80.8,80.8,414248.0,0.0,1.0,80.92,81.48,80.8,80.8,414248.0
2016-03-31,79.71,80.4,79.64,80.02,723446.0,0.0,1.0,79.71,80.4,79.64,80.02,723446.0
2016-06-30,80.73,82.23,80.49,82.23,868264.0,0.0,1.0,80.73,82.23,80.49,82.23,868264.0
2016-09-30,99.12,100.07,99.07,99.53,1152026.0,0.0,1.0,99.12,100.07,99.07,99.53,1152026.0
2016-12-31,90.66,90.68,89.45,89.78,554068.0,0.0,1.0,90.66,90.68,89.45,89.78,554068.0
2017-03-31,90.99,91.375,90.83,91.13,454114.0,0.0,1.0,90.99,91.375,90.83,91.13,454114.0
2017-06-30,102.91,103.9099,102.825,103.19,1014755.0,0.0,1.0,102.91,103.9099,102.825,103.19,1014755.0
2017-09-30,99.77,100.13,98.34,100.06,1067484.0,0.0,1.0,99.77,100.13,98.34,100.06,1067484.0
2017-12-31,112.59,112.59,111.15,111.15,371929.0,0.0,1.0,112.59,112.59,111.15,111.15,371929.0
2018-03-31,123.61,123.815,121.21,121.84,552819.0,0.0,1.0,123.61,123.815,121.21,121.84,552819.0
